-1,0
2,0
11,2
19,5
26,8
33,12
40,17
47,23
53,28
58,35
62,42
67,52
71,62
75,70
79,78
82,86
86,92
91,100
97,106
103,112
113,121
121,128
127,133
133,138
141,146
146,152
150,157
155,163
160,169
165,175
170,181
178,191
183,198
189,204
194,209
200,214
205,219
212,225
217,230
225,237
231,242
236,247
244,253
250,259
256,265
262,270
267,276
274,282
279,286
285,292
292,298
297,303
304,309
311,314
316,319
322,324
328,329
334,335
340,340
345,345
350,351
355,357
360,363
367,372
372,378
378,384
385,390
391,394
398,399
405,404
411,409
418,414
424,418
431,424
436,429
442,434
447,440
453,446
458,451
465,459
471,464
476,470
482,475
489,482
496,487
503,492
509,498
518,504
524,508
531,514
537,518
543,523
549,528
557,535
562,540
569,547
575,553
580,559
586,564
591,569
597,575
604,581
610,586
619,593
625,598
632,602
641,609
652,618
662,627
671,634
678,640
685,647
691,652
696,657
702,661
708,666
715,671
721,675
728,680
734,684
741,688
748,693
756,698
764,702
773,708
779,712
786,716
793,721
799,724
806,728
812,732
819,736
826,740
837,745
843,749
850,752
857,756
865,761
872,765
878,769
885,774
891,778
897,783
905,790
912,794
918,799
924,805
930,809
939,816
945,820
951,824
957,829
963,833
970,837
979,842
986,847
994,851
1002,856
1008,860
1016,864
1022,868
1030,873
1037,877
1044,881
1054,886
1062,890
1070,892
1079,896
1087,898
1096,900
1105,903
1114,906
1122,908
1131,911
1142,915
1150,918
1156,922
1162,926
1168,932
1173,937
1178,943
1183,949
1188,954
1194,960
1200,965
1208,972
1214,976
1221,981
1229,986
1236,990
1243,995
1250,999
1257,1004
1264,1008
1270,1013
1275,1018
1284,1026
1290,1031
1296,1036
1303,1043
1309,1048
1315,1054
1322,1060
1328,1065
1335,1071
1341,1077
1348,1082
1353,1087
1359,1091
1366,1097
1372,1102
1379,1108
1386,1114
1392,1119
1397,1123
1404,1129
1412,1136
1418,1141
1423,1147
1430,1155
1436,1162
1441,1167
1446,1172
1453,1178
1460,1183
1467,1188
1475,1193
1481,1198
1488,1203
1494,1207
1500,1212
1506,1218
1512,1224
1518,1231
1527,1242
1540,1255
1547,1264
1553,1270
1559,1276
1565,1282
1572,1288
1580,1294
1586,1299
1592,1304
1599,1309
1605,1314
1611,1319
1617,1324
1624,1330
1629,1336
1634,1342
1639,1348
1644,1354
1648,1360
1652,1368
1659,1375
1664,1381
1670,1386
1676,1392
1682,1398
1688,1403
1693,1408
1699,1413
1705,1419
1711,1424
1719,1432
1724,1437
1730,1443
1736,1449
1741,1454
1746,1460
1752,1466
1758,1472
1764,1478
1769,1484
1776,1492
1781,1497
1787,1502
1793,1508
1800,1513
1807,1519
1813,1525
1818,1530
1823,1536
1828,1542
1833,1548
1839,1555
1844,1561
1850,1568
1855,1573
1861,1579
1867,1584
1873,1589
1879,1594
1884,1599
1890,1605
1898,1611
1904,1617
1910,1622
1915,1628
1921,1634
1926,1639
1932,1644
1938,1649
1944,1655
1951,1660
1958,1665
1966,1671
1973,1676
1980,1680
1987,1685
1993,1689
2000,1695
2006,1700
2011,1705
2016,1712
2022,1719
2028,1726
2033,1732
2037,1738
2042,1744
2047,1750
2053,1755
2059,1761
2065,1766
2070,1771
2077,1776
2083,1781
2091,1787
2097,1792
2103,1798
2109,1804
2115,1809
2120,1816
2126,1822
2131,1827
2136,1833
2143,1841
2149,1847
2155,1853
2161,1858
2167,1864
2173,1870
2178,1875
2184,1881
2190,1886
2196,1892
2200,1898
2207,1905
2212,1911
2217,1918
2222,1923
2228,1930
2234,1936
2239,1940
2244,1946
2250,1951
2256,1957
2262,1963
2269,1970
2276,1977
2284,1986
2293,1995
2302,2004
2309,2011
2315,2017
2322,2024
2328,2030
2334,2036
2340,2042
2345,2047
2350,2052
2356,2058
2361,2063
2368,2070
2373,2075
2377,2080
2383,2086
2389,2094
2395,2099
2400,2105
2405,2110
2411,2116
2417,2122
2422,2128
2428,2133
2433,2138
2438,2143
2446,2150
2451,2155
2456,2161
2462,2167
2467,2173
2472,2179
2484,2192
2492,2198
2498,2205
2506,2212
2512,2218
2520,2225
2528,2233
2534,2238
2539,2243
2544,2248
2551,2255
2555,2260
2560,2265
2566,2272
2572,2278
2577,2284
2584,2290
2589,2296
2594,2301
2599,2307
2605,2312
2612,2318
2618,2324
2625,2331
2631,2336
2636,2342
2643,2347
2648,2353
2654,2358
2659,2363
2666,2369
2671,2374
2678,2379
2683,2383
2690,2389
2696,2394
2703,2399
2709,2404
2716,2410
2722,2415
2729,2422
2733,2428
2738,2434
2745,2444
2751,2452
2755,2459
2760,2465
2766,2472
2772,2478
2779,2484
2785,2489
2792,2494
2799,2499
2806,2504
2814,2510
2821,2516
2826,2520
2833,2525
2840,2531
2846,2536
2852,2542
2857,2548
2861,2553
2866,2559
2871,2567
2876,2575
2881,2582
2886,2588
2891,2594
2897,2601
2902,2606
2909,2612
2915,2617
2923,2622
2929,2628
2936,2633
2943,2639
2949,2644
2954,2649
2960,2655
2966,2660
2972,2666
2977,2672
2983,2676
2988,2682
2995,2690
3001,2695
3006,2700
3012,2706
3017,2711
3022,2716
3027,2722
3033,2728
3043,2737
3054,2748
3062,2756
3070,2764
3075,2769
3080,2776
3086,2781
3092,2788
3097,2794
3103,2799
3108,2805
3114,2812
3119,2818
3125,2824
3130,2829
3135,2835
3141,2841
3146,2845
3153,2852
3160,2858
3165,2863
3171,2869
3178,2876
3184,2882
3190,2888
3194,2894
3200,2899
3206,2906
3211,2911
3217,2916
3222,2922
3227,2928
3240,2938
3247,2945
3253,2951
3258,2956
3263,2962
