0,0
9,1
29,4
42,7
55,11
64,15
70,19
75,25
79,34
83,41
86,47
90,55
94,63
98,71
101,78
104,88
107,95
111,103
114,113
117,120
121,130
124,138
127,146
130,155
133,162
136,170
140,179
144,188
149,198
153,203
159,209
165,214
171,217
177,221
183,225
191,229
199,233
207,237
213,241
221,246
228,251
235,257
241,261
248,267
254,271
260,277
266,282
272,288
278,294
283,299
289,304
294,308
300,315
306,321
312,326
319,332
330,343
342,353
350,359
357,365
362,371
368,376
373,382
378,387
383,392
389,397
396,403
406,412
413,417
420,422
427,426
434,430
442,434
448,438
454,441
462,445
469,450
476,455
482,459
490,464
497,469
503,474
508,479
514,485
519,491
525,496
531,503
537,509
544,514
550,519
556,524
562,529
567,533
574,539
580,544
587,549
594,555
600,559
607,564
615,569
621,573
627,577
635,582
641,585
649,589
655,593
664,599
670,604
677,609
684,615
689,620
695,625
701,631
707,636
712,642
718,648
724,653
730,658
735,663
742,668
748,673
754,678
760,683
766,688
772,693
777,697
783,702
789,707
794,711
801,717
808,723
814,728
821,734
827,738
833,744
840,749
847,754
854,758
860,763
867,768
874,773
881,777
888,781
895,785
902,789
911,794
917,797
924,801
931,805
938,810
945,815
952,821
959,826
965,832
971,837
978,843
983,849
989,854
996,860
1002,865
1008,869
1016,875
1023,880
1030,885
1038,889
1045,893
1051,898
1058,902
1063,905
1070,910
1076,914
1084,919
1097,929
1106,935
1112,940
1117,945
1124,950
1130,955
1136,960
1141,965
1148,971
1155,977
1162,983
1172,990
1183,998
1195,1006
1202,1011
1212,1017
1219,1021
1227,1025
1233,1029
1241,1034
1249,1038
1256,1042
1265,1046
1272,1050
1278,1054
1286,1058
1294,1062
1301,1066
1309,1071
1315,1075
1322,1079
1328,1084
1335,1088
1341,1093
1348,1097
1354,1102
1363,1109
1368,1114
1376,1120
1381,1126
1386,1131
1391,1136
1397,1141
1402,1147
1408,1153
1414,1158
1419,1163
1425,1168
1431,1174
1438,1180
1444,1185
1450,1189
1457,1193
1463,1197
1470,1202
1476,1206
1482,1211
1489,1215
1496,1221
1501,1226
1508,1232
1514,1238
1521,1244
1527,1250
1532,1255
1537,1260
1543,1264
1548,1271
1554,1277
1560,1283
1566,1290
1572,1295
1577,1300
1583,1305
1590,1310
1596,1315
1601,1319
1612,1328
1618,1333
1624,1337
1630,1343
1635,1349
1641,1355
1647,1361
1652,1367
1657,1373
1662,1378
1668,1384
1679,1396
1684,1402
1691,1408
1697,1414
1703,1420
1709,1425
1715,1430
1722,1436
1727,1441
1733,1447
1740,1453
1746,1458
1752,1465
1758,1471
1763,1475
1768,1481
1772,1486
1778,1491
1784,1497
