0,0
2,1
7,1
14,3
23,7
32,11
38,15
46,19
55,25
61,29
66,35
73,42
77,48
83,54
88,62
93,69
99,75
104,81
109,88
115,93
121,99
128,104
134,108
140,113
147,118
155,123
162,129
168,133
175,138
181,143
187,148
193,153
199,159
204,165
210,172
216,178
221,184
226,189
233,195
239,200
247,205
254,209
261,213
269,217
276,222
283,226
290,231
297,235
303,240
309,247
314,253
320,259
326,265
331,270
338,276
345,281
353,287
358,291
366,296
372,301
378,306
384,311
391,317
396,323
401,328
406,334
413,341
418,348
422,355
426,362
430,370
435,377
439,384
444,391
448,397
453,404
458,409
464,417
470,424
476,431
482,438
486,444
491,451
495,458
499,465
502,472
506,480
511,489
515,497
519,504
523,511
527,518
532,525
537,533
542,540
547,547
551,554
557,562
560,569
564,577
568,584
571,592
575,601
579,609
585,622
589,631
596,648
600,655
604,663
607,669
611,677
615,684
620,691
624,696
629,703
635,709
640,715
648,723
654,728
660,734
665,739
671,745
675,751
680,758
684,764
692,779
699,790
704,797
708,803
713,810
719,816
728,822
733,827
740,832
747,836
753,841
760,846
766,851
773,855
779,861
785,865
791,871
798,877
804,882
811,888
817,892
825,897
832,902
839,906
846,909
855,913
863,916
872,919
880,923
888,926
897,929
905,933
915,936
924,939
932,941
942,943
951,946
960,949
969,951
977,954
986,957
995,959
1006,962
1015,964
1024,966
1034,969
1044,972
1052,974
1060,977
1069,979
1077,982
1086,985
1096,990
1106,993
1115,997
1123,1000
1132,1002
1140,1005
1148,1007
1156,1010
1165,1013
1176,1018
1191,1025
1198,1030
1205,1034
1211,1039
1218,1045
1223,1049
1230,1055
1235,1059
1241,1065
1246,1069
1254,1076
1261,1081
1268,1086
1274,1090
1282,1095
1288,1099
1295,1103
1302,1108
1309,1113
1314,1117
1321,1124
1327,1130
1333,1137
1338,1143
1343,1149
1349,1156
1354,1162
1360,1168
1366,1174
1373,1179
1381,1186
1388,1191
1394,1197
1399,1201
1406,1208
1411,1213
1416,1217
1421,1223
1427,1228
1433,1234
1438,1239
1445,1247
1455,1256
1461,1263
1468,1271
1475,1278
1480,1284
1485,1290
1491,1296
1496,1303
1503,1310
1509,1317
1514,1324
1519,1330
1523,1337
1529,1344
1533,1351
1537,1359
1541,1365
1546,1371
1551,1380
1556,1385
1561,1392
1566,1399
1571,1405
1576,1411
1581,1417
1586,1424
1592,1432
1596,1438
1601,1445
1606,1454
1610,1460
1615,1467
1620,1475
1624,1481
1628,1489
1632,1495
1637,1503
1642,1510
1646,1517
1652,1527
1657,1534
1662,1542
1667,1549
1672,1555
1676,1561
1680,1567
1685,1574
1689,1580
1694,1587
1699,1595
1704,1604
1709,1611
1713,1619
1718,1626
1722,1633
1727,1641
1732,1648
1738,1657
1742,1663
1748,1671
1753,1678
1757,1685
1762,1691
1766,1699
1772,1707
1776,1714
1781,1722
1786,1730
1789,1737
1795,1747
1799,1754
1802,1761
1807,1770
1810,1777
1814,1785
1818,1791
1821,1799
1825,1807
1829,1814
1833,1822
1838,1830
1842,1837
1847,1845
1851,1853
1855,1860
1860,1867
1864,1875
1868,1881
1872,1888
1878,1897
1883,1904
1887,1912
1891,1919
1895,1926
1899,1933
1903,1940
1908,1948
1913,1956
1917,1963
1922,1971
1927,1978
1932,1984
1937,1991
1942,1998
1947,2005
1951,2013
1956,2020
1959,2027
1963,2034
1967,2042
1971,2051
1975,2059
1979,2067
1983,2074
1986,2081
1990,2089
1994,2097
1997,2104
2001,2112
2005,2118
2010,2127
2014,2135
2018,2142
2022,2150
2027,2157
2032,2165
2039,2176
2045,2183
2051,2191
2056,2199
2062,2205
2068,2211
2073,2217
2077,2223
2082,2228
2087,2236
2092,2242
2096,2249
2101,2257
2105,2264
2111,2273
2114,2279
2119,2286
2122,2293
2127,2300
2131,2307
2135,2313
2140,2320
2146,2327
2150,2333
2155,2339
2162,2348
2167,2354
2172,2361
2176,2367
2181,2373
2186,2380
2191,2387
2197,2393
2202,2399
2208,2404
2215,2411
2222,2417
2227,2421
2234,2426
2241,2431
2249,2435
2256,2439
2263,2443
2269,2448
2276,2452
2284,2458
2291,2463
2298,2467
2304,2471
2311,2475
2319,2479
2326,2483
2334,2487
2341,2490
2349,2494
2356,2498
2365,2503
2371,2507
2379,2511
2386,2515
2394,2518
2401,2522
2409,2525
