0,-1
11,2
27,8
48,21
60,29
64,35
68,45
71,53
75,69
79,83
82,92
87,98
94,104
101,109
109,112
117,116
125,120
131,125
136,131
141,138
146,146
150,153
154,161
158,168
163,174
168,180
174,185
182,190
190,194
197,199
209,208
220,218
227,229
232,238
237,246
242,253
247,259
252,264
259,270
266,276
275,282
282,286
288,290
294,295
301,301
307,307
311,312
316,319
322,330
327,337
332,344
338,351
343,356
350,360
357,364
366,370
373,375
380,380
387,386
393,391
398,398
402,404
406,410
412,419
416,426
422,432
428,439
434,445
441,450
449,455
457,462
465,468
471,474
477,479
482,485
487,491
491,496
496,504
503,512
508,519
514,524
520,530
525,534
532,539
538,543
544,548
552,555
558,560
565,567
571,572
576,577
582,583
588,589
592,594
599,604
604,610
609,616
614,622
621,630
627,635
634,641
640,646
647,651
653,656
657,661
664,668
670,673
676,679
681,684
688,690
694,697
700,702
706,708
712,714
717,720
722,725
727,731
733,737
739,743
745,750
750,757
756,763
762,768
767,773
775,779
780,784
786,790
793,795
799,801
805,807
811,812
817,817
823,822
829,830
834,836
839,843
844,848
849,855
855,861
860,867
867,873
874,878
880,883
886,888
892,892
897,896
904,902
911,906
917,911
924,916
934,921
